facility_id,location,cleanliness_score,odor_score,waste_level,water_availability,footfall,complaints,inspection_date
F001,Amravati,82.0,2.0,Low,Yes,450.0,3.0,2026-08-01
F002,Akola,75.0,3.0,Medium,Yes,620.0,5.0,2026-08-02
F003,Nagpur,91.0,1.0,Low,Yes,850.0,2.0,2026-08-03
F004,Yavatmal,68.0,5.0,High,No,390.0,12.0,2026-08-04
F005,Washim,88.0,2.0,Low,Yes,510.0,4.0,2026-08-05
F006,Buldhana,72.0,4.0,Medium,Yes,470.0,8.0,2026-08-06
F007,Amravati,95.0,1.0,Low,Yes,720.0,1.0,2026-08-07
F008,Akola,61.0,6.0,High,No,680.0,15.0,2026-08-08
F009,Nagpur,84.0,2.0,Low,Yes,920.0,3.0,2026-08-09
F010,Yavatmal,77.0,3.0,Medium,Yes,410.0,6.0,2026-08-10
F011,Washim,89.0,2.0,Low,Yes,530.0,2.0,2026-08-11
F012,Buldhana,65.0,5.0,High,No,350.0,11.0,2026-08-12
F013,Amravati,81.0,3.0,Medium,Yes,560.0,5.0,2026-08-13
F014,Akola,93.0,1.0,Low,Yes,740.0,1.0,2026-08-14
F015,Nagpur,70.0,4.0,Medium,Yes,810.0,7.0,2026-08-15
F016,Yavatmal,55.0,7.0,High,No,450.0,18.0,2026-08-16
F017,Washim,86.0,2.0,Low,Yes,490.0,3.0,2026-08-17
F018,Buldhana,73.0,4.0,Medium,Yes,580.0,9.0,2026-08-18
F019,Amravati,90.0,1.0,Low,Yes,690.0,2.0,2026-08-19
F020,Akola,64.0,6.0,High,No,760.0,14.0,2026-08-20
F021,Nagpur,87.0,2.0,Low,Yes,980.0,3.0,2026-08-21
F022,Yavatmal,69.0,5.0,High,No,430.0,10.0,2026-08-22
F023,Washim,80.0,3.0,Medium,Yes,520.0,4.0,2026-08-23
F024,Buldhana,92.0,1.0,Low,Yes,610.0,2.0,2026-08-24
F025,Amravati,76.0,4.0,Medium,Yes,570.0,6.0,2026-08-25
F026,Akola,58.0,8.0,High,No,710.0,20.0,2026-08-26
F027,Nagpur,85.0,2.0,Low,Yes,890.0,2.0,2026-08-27
F028,Yavatmal,71.0,4.0,Medium,Yes,400.0,8.0,2026-08-28
F029,Washim,94.0,1.0,Low,Yes,550.0,1.0,2026-08-29
F030,Buldhana,67.0,5.0,High,No,360.0,13.0,2026-08-30
F031,Amravati,77.0,3.0,Medium,Yes,590.0,5.0,2026-08-31
F032,Akola,79.0,3.0,Medium,Yes,640.0,6.0,2026-09-01
F033,Nagpur,83.0,2.0,Low,Yes,870.0,3.0,2026-09-02
F034,Yavatmal,66.0,5.0,High,No,580.0,12.0,2026-09-03
F035,Washim,88.0,2.0,Low,Yes,540.0,5.0,2026-09-04
F036,Buldhana,74.0,4.0,Medium,Yes,500.0,7.0,2026-09-05
F037,Amravati,77.0,2.0,Low,Yes,610.0,2.0,2026-09-06
F038,Akola,63.0,3.0,High,No,730.0,16.0,2026-09-07
F039,Nagpur,77.0,3.0,Medium,Yes,820.0,4.0,2026-09-08
F040,Yavatmal,70.0,4.0,High,No,450.0,9.0,2026-09-09
