facility_id,location,cleanliness_score,odor_score,waste_level,water_availability,footfall,complaints,inspection_date
F001,Amravati,82,2,Low,Yes,450,3,2026-08-01
F002,Akola,75,3,Medium,Yes,620,5,2026-08-02
F003,Nagpur,91,1,Low,Yes,850,2,2026-08-03
F004,Yavatmal,68,5,High,No,390,12,2026-08-04
F005,Washim,88,2,Low,Yes,510,4,2026-08-05
F006,Buldhana,72,4,Medium,Yes,470,8,2026-08-06
F007,Amravati,95,1,Low,Yes,720,1,2026-08-07
F008,Akola,61,6,High,No,680,15,2026-08-08
F009,Nagpur,84,2,Low,Yes,920,3,2026-08-09
F010,Yavatmal,77,3,Medium,Yes,410,6,2026-08-10
F011,Washim,89,2,Low,Yes,530,2,2026-08-11
F012,Buldhana,65,5,High,No,350,11,2026-08-12
F013,Amravati,81,3,Medium,Yes,560,5,2026-08-13
F014,Akola,93,1,Low,Yes,740,1,2026-08-14
F015,Nagpur,70,4,Medium,Yes,810,7,2026-08-15
F016,Yavatmal,55,7,High,No,450,18,2026-08-16
F017,Washim,86,2,Low,Yes,490,3,2026-08-17
F018,Buldhana,73,4,Medium,Yes,580,9,2026-08-18
F019,Amravati,90,1,Low,Yes,690,2,2026-08-19
F020,Akola,64,6,High,No,760,14,2026-08-20
F021,Nagpur,87,2,Low,Yes,980,3,2026-08-21
F022,Yavatmal,69,5,High,No,430,10,2026-08-22
F023,Washim,80,3,Medium,Yes,520,4,2026-08-23
F024,Buldhana,92,1,Low,Yes,610,2,2026-08-24
F025,Amravati,76,4,Medium,Yes,570,6,2026-08-25
F026,Akola,58,8,High,No,710,20,2026-08-26
F027,Nagpur,85,2,Low,Yes,890,2,2026-08-27
F028,Yavatmal,71,4,Medium,Yes,400,8,2026-08-28
F029,Washim,94,1,Low,Yes,550,1,2026-08-29
F030,Buldhana,67,5,High,No,360,13,2026-08-30
F031,Amravati,,3,Medium,Yes,590,5,2026-08-31
F032,Akola,79,,Medium,Yes,640,6,2026-09-01
F033,Nagpur,83,2,,Yes,870,3,2026-09-02
F034,Yavatmal,66,5,High,No,,12,2026-09-03
F035,Washim,88,2,Low,Yes,540,,2026-09-04
F036,Buldhana,74,4,Medium,Yes,500,7,2026-09-05
F036,Buldhana,74,4,Medium,Yes,500,7,2026-09-05
F037,Amravati,120,2,Low,Yes,610,2,2026-09-06
F038,Akola,63,11,High,No,730,16,2026-09-07
F039,Nagpur,-10,3,Medium,Yes,820,4,2026-09-08
F040,Yavatmal,70,4,High,No,450,9,2026-09-09
