location,facility_type,cleanliness_score,odor_score,waste_level,water_availability,footfall,complaints,hours_since_cleaning,hygiene_risk,inspection_month,inspection_day_of_week
Nagpur Central,Public Washroom,6.1,4.7,45.5,Yes,584,5,8.5,Medium,8,2
Sadar,School Washroom,5.9,5.9,54.6,Yes,106,4,9.1,Medium,8,0
Dharampeth,Public Washroom,3.5,6.2,95.8,Yes,446,9,3.1,High,6,0
Hingna,Public Washroom,10.0,1.0,21.0,Yes,424,1,4.6,Low,3,3
Dharampeth,Office Washroom,3.0,7.2,54.5,Yes,133,7,9.1,High,5,4
Dharampeth,Transit Washroom,6.8,5.0,30.6,Yes,496,3,3.3,Medium,5,6
Nagpur Central,Office Washroom,4.8,5.0,59.3,Yes,674,5,19.5,High,6,1
Sadar,Mall Washroom,5.2,6.8,32.4,Yes,874,7,6.3,High,6,3
Civil Lines,School Washroom,2.5,8.5,74.7,Yes,334,5,10.2,High,8,5
Sitabuldi,Mall Washroom,5.6,2.5,88.3,Yes,60,5,14.8,Medium,3,4
Kamptee Road,Hospital Washroom,5.8,5.4,15.5,Yes,926,5,26.6,High,2,5
Kamptee Road,Office Washroom,6.2,4.9,33.5,Yes,439,4,9.6,Medium,5,4
Civil Lines,Hospital Washroom,5.5,5.5,33.5,Yes,130,4,1.7,Medium,1,3
Civil Lines,Public Washroom,7.2,3.2,37.7,Yes,827,4,2.1,Medium,5,0
Kamptee Road,Transit Washroom,8.3,3.5,48.8,Yes,586,1,1.0,Low,5,5
Mihan,Transit Washroom,6.8,3.4,45.3,Yes,411,3,2.8,Low,7,5
Sadar,Public Washroom,5.0,6.3,59.7,Yes,447,8,6.7,High,1,5
Civil Lines,Transit Washroom,6.5,6.6,28.0,Yes,454,6,1.8,Medium,3,0
Dharampeth,Public Washroom,3.1,8.3,77.3,Yes,296,6,4.2,High,1,2
Sitabuldi,Hospital Washroom,7.4,2.6,42.7,Yes,431,4,4.5,Low,8,2
Dharampeth,Office Washroom,2.6,9.0,100.0,Yes,612,8,0.8,High,1,3
Manish Nagar,School Washroom,4.5,7.3,75.5,Yes,367,7,3.6,High,7,6
Civil Lines,Mall Washroom,5.8,7.2,46.8,Yes,48,5,5.0,Medium,1,4
Nagpur Central,Transit Washroom,7.6,1.3,27.5,Yes,205,1,14.4,Low,3,6
Civil Lines,Public Washroom,7.5,3.9,17.1,Yes,244,3,1.0,Low,1,2
Manish Nagar,School Washroom,5.5,4.0,61.5,Yes,566,5,9.4,Medium,5,6
Dharampeth,Transit Washroom,8.3,4.1,0.0,No,564,4,0.5,Medium,2,5
Mihan,Transit Washroom,4.7,6.5,70.4,No,761,7,3.5,High,3,6
Manish Nagar,Public Washroom,5.6,3.7,71.9,Yes,404,4,12.7,Medium,3,1
Kamptee Road,School Washroom,9.1,3.5,5.4,Yes,400,3,3.1,Low,5,5
Sitabuldi,Mall Washroom,6.4,7.4,63.3,Yes,527,5,0.5,Medium,5,4
Kamptee Road,Public Washroom,7.3,1.8,44.1,Yes,834,6,8.8,Medium,3,2
Sadar,Mall Washroom,7.7,1.8,37.1,Yes,522,4,17.2,Medium,7,4
Sadar,Office Washroom,2.8,8.2,83.3,Yes,597,7,7.3,High,3,5
Manish Nagar,Office Washroom,9.8,1.0,16.1,Yes,396,3,3.0,Low,5,4
Wardha Road,Hospital Washroom,5.0,6.1,50.5,Yes,528,5,12.7,High,8,0
Kamptee Road,School Washroom,8.0,1.0,33.5,Yes,748,5,2.4,Low,6,0
Nagpur Central,Public Washroom,6.4,2.1,7.4,Yes,873,3,2.3,Low,5,5
Hingna,Public Washroom,5.0,5.3,60.4,No,200,9,0.9,High,1,4
Dharampeth,Mall Washroom,5.7,3.0,47.5,Yes,764,4,1.6,Medium,8,6
Kamptee Road,Office Washroom,8.7,1.4,20.0,No,332,4,5.3,Low,6,0
Kamptee Road,Public Washroom,4.9,6.8,77.2,Yes,428,5,6.3,High,7,0
Dharampeth,Hospital Washroom,6.0,5.8,52.3,Yes,137,4,4.4,Medium,3,5
Sadar,Office Washroom,4.4,4.8,60.5,Yes,582,4,8.4,Medium,4,6
Mihan,School Washroom,7.8,3.3,4.9,Yes,496,2,4.0,Low,7,3
Sadar,Office Washroom,5.5,5.6,72.9,Yes,432,3,0.8,Medium,8,3
Mihan,Transit Washroom,7.4,1.7,18.0,No,492,7,1.0,Medium,6,4
Mihan,Hospital Washroom,8.0,4.1,2.9,Yes,629,2,1.3,Low,9,1
Manish Nagar,Hospital Washroom,6.4,2.1,40.3,Yes,805,2,2.1,Low,5,4
Hingna,School Washroom,7.5,2.8,50.3,Yes,469,6,9.2,Medium,2,0
Mihan,Public Washroom,5.4,6.9,77.9,Yes,588,6,11.0,High,7,1
Mihan,Office Washroom,6.3,5.7,41.1,Yes,754,3,5.8,Medium,4,3
Hingna,Transit Washroom,6.1,6.4,31.2,Yes,640,7,9.7,Medium,1,2
Wardha Road,Office Washroom,2.8,7.9,75.5,Yes,591,9,0.5,High,7,1
Wardha Road,Office Washroom,4.7,6.6,67.9,No,308,10,4.1,High,1,1
Civil Lines,Office Washroom,4.6,5.1,40.8,Yes,444,2,1.7,Medium,1,6
Sitabuldi,Hospital Washroom,6.6,5.9,68.2,Yes,781,4,2.2,Medium,2,5
Dharampeth,Transit Washroom,8.3,2.9,29.3,Yes,185,0,3.8,Low,4,6
Wardha Road,Transit Washroom,5.4,3.9,72.7,Yes,656,9,6.9,High,1,3
Hingna,Hospital Washroom,10.0,1.0,17.9,Yes,197,3,13.0,Low,2,1
Mihan,School Washroom,4.0,5.2,62.0,Yes,203,5,25.2,High,9,5
Sadar,School Washroom,9.8,2.0,0.0,Yes,444,4,2.5,Low,8,2
Civil Lines,Mall Washroom,3.8,6.4,59.4,Yes,649,6,5.0,High,5,6
Mihan,Mall Washroom,7.6,4.6,21.4,Yes,489,4,3.9,Low,5,0
Hingna,Mall Washroom,5.9,3.7,60.5,Yes,449,4,2.1,Medium,6,4
Dharampeth,Mall Washroom,4.8,5.0,54.7,Yes,374,6,9.6,Medium,6,3
Dharampeth,Office Washroom,3.3,7.2,76.2,Yes,571,9,9.7,High,5,0
Kamptee Road,Hospital Washroom,6.1,4.5,59.8,Yes,400,4,0.5,Medium,1,2
Nagpur Central,Hospital Washroom,6.1,4.3,58.1,Yes,241,3,6.4,Medium,4,6
Sitabuldi,Office Washroom,6.8,5.6,35.0,Yes,359,4,7.4,Medium,1,2
Mihan,School Washroom,8.1,1.0,38.2,Yes,514,1,4.0,Low,7,1
Sadar,Mall Washroom,4.9,5.6,75.7,Yes,359,6,24.2,High,2,4
Nagpur Central,Office Washroom,7.1,5.8,42.9,Yes,543,2,0.5,Medium,5,5
